uuid,distance,rssi
d6:fb:b2:5e:83:c5,2,-94
d6:fb:b2:5e:83:c5,2,-99
d6:fb:b2:5e:83:c5,2,-93
d6:fb:b2:5e:83:c5,2,-95
d6:fb:b2:5e:83:c5,2,-90
d6:fb:b2:5e:83:c5,2,-81
d6:fb:b2:5e:83:c5,2,-94
d6:fb:b2:5e:83:c5,2,-100
d6:fb:b2:5e:83:c5,2,-90
d6:fb:b2:5e:83:c5,2,-88
d6:fb:b2:5e:83:c5,2,-100
d6:fb:b2:5e:83:c5,2,-92
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-82
d6:fb:b2:5e:83:c5,2,-84
d6:fb:b2:5e:83:c5,2,-83
d6:fb:b2:5e:83:c5,2,-94
d6:fb:b2:5e:83:c5,2,-76
d6:fb:b2:5e:83:c5,2,-80
d6:fb:b2:5e:83:c5,2,-72
d6:fb:b2:5e:83:c5,2,-74
d6:fb:b2:5e:83:c5,2,-78
d6:fb:b2:5e:83:c5,2,-78
d6:fb:b2:5e:83:c5,2,-74
d6:fb:b2:5e:83:c5,2,-67
d6:fb:b2:5e:83:c5,2,-56
d6:fb:b2:5e:83:c5,2,-75
d6:fb:b2:5e:83:c5,2,-94
d6:fb:b2:5e:83:c5,2,-94
d6:fb:b2:5e:83:c5,2,-92
d6:fb:b2:5e:83:c5,2,-73
d6:fb:b2:5e:83:c5,2,-74
d6:fb:b2:5e:83:c5,2,-88
d6:fb:b2:5e:83:c5,2,-85
d6:fb:b2:5e:83:c5,2,-84
d6:fb:b2:5e:83:c5,2,-90
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-103
d6:fb:b2:5e:83:c5,2,-85
d6:fb:b2:5e:83:c5,2,-93
d6:fb:b2:5e:83:c5,2,-93
d6:fb:b2:5e:83:c5,2,-96
d6:fb:b2:5e:83:c5,2,-94
d6:fb:b2:5e:83:c5,2,-85
d6:fb:b2:5e:83:c5,2,-95
d6:fb:b2:5e:83:c5,2,-77
d6:fb:b2:5e:83:c5,2,-71
d6:fb:b2:5e:83:c5,2,-74
d6:fb:b2:5e:83:c5,2,-71
d6:fb:b2:5e:83:c5,2,-75
d6:fb:b2:5e:83:c5,2,-72
d6:fb:b2:5e:83:c5,2,-79
d6:fb:b2:5e:83:c5,2,-87
d6:fb:b2:5e:83:c5,2,-73
d6:fb:b2:5e:83:c5,2,-73
d6:fb:b2:5e:83:c5,2,-76
d6:fb:b2:5e:83:c5,2,-72
d6:fb:b2:5e:83:c5,2,-67
d6:fb:b2:5e:83:c5,2,-68
d6:fb:b2:5e:83:c5,2,-51
d6:fb:b2:5e:83:c5,2,-72
d6:fb:b2:5e:83:c5,2,-68
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-79
d6:fb:b2:5e:83:c5,2,-77
d6:fb:b2:5e:83:c5,2,-83
d6:fb:b2:5e:83:c5,2,-84
d6:fb:b2:5e:83:c5,2,-76
d6:fb:b2:5e:83:c5,2,-85
d6:fb:b2:5e:83:c5,2,-86
d6:fb:b2:5e:83:c5,2,-92
d6:fb:b2:5e:83:c5,2,-87
d6:fb:b2:5e:83:c5,2,-95
d6:fb:b2:5e:83:c5,2,-89
d6:fb:b2:5e:83:c5,2,-81
d6:fb:b2:5e:83:c5,2,-82
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-71
d6:fb:b2:5e:83:c5,2,-88
d6:fb:b2:5e:83:c5,2,-74
d6:fb:b2:5e:83:c5,2,-96
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-89
d6:fb:b2:5e:83:c5,2,-77
d6:fb:b2:5e:83:c5,2,-87
d6:fb:b2:5e:83:c5,2,-83
d6:fb:b2:5e:83:c5,2,-85
d6:fb:b2:5e:83:c5,2,-82
d6:fb:b2:5e:83:c5,2,-71
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-74
d6:fb:b2:5e:83:c5,2,-82
d6:fb:b2:5e:83:c5,2,-92
d6:fb:b2:5e:83:c5,2,-88
d6:fb:b2:5e:83:c5,2,-90
d6:fb:b2:5e:83:c5,2,-87
d6:fb:b2:5e:83:c5,2,-88
d6:fb:b2:5e:83:c5,2,-88
d6:fb:b2:5e:83:c5,2,-87
d6:fb:b2:5e:83:c5,2,-88
d6:fb:b2:5e:83:c5,2,-74
d6:fb:b2:5e:83:c5,2,-74
d6:fb:b2:5e:83:c5,2,-85
d6:fb:b2:5e:83:c5,2,-86
d6:fb:b2:5e:83:c5,2,-86
d6:fb:b2:5e:83:c5,2,-87
d6:fb:b2:5e:83:c5,2,-86
d6:fb:b2:5e:83:c5,2,-88
d6:fb:b2:5e:83:c5,2,-88
d6:fb:b2:5e:83:c5,2,-86
d6:fb:b2:5e:83:c5,2,-86
d6:fb:b2:5e:83:c5,2,-90
d6:fb:b2:5e:83:c5,2,-87
d6:fb:b2:5e:83:c5,2,-80
d6:fb:b2:5e:83:c5,2,-88
d6:fb:b2:5e:83:c5,2,-93
d6:fb:b2:5e:83:c5,2,-88
d6:fb:b2:5e:83:c5,2,-72
d6:fb:b2:5e:83:c5,2,-85
d6:fb:b2:5e:83:c5,2,-84
d6:fb:b2:5e:83:c5,2,-83
d6:fb:b2:5e:83:c5,2,-84
d6:fb:b2:5e:83:c5,2,-87
d6:fb:b2:5e:83:c5,2,-85
d6:fb:b2:5e:83:c5,2,-69
d6:fb:b2:5e:83:c5,2,-86
d6:fb:b2:5e:83:c5,2,-88
d6:fb:b2:5e:83:c5,2,-88
d6:fb:b2:5e:83:c5,2,-72
d6:fb:b2:5e:83:c5,2,-84
d6:fb:b2:5e:83:c5,2,-69
d6:fb:b2:5e:83:c5,2,-88
d6:fb:b2:5e:83:c5,2,-74
d6:fb:b2:5e:83:c5,2,-87
d6:fb:b2:5e:83:c5,2,-70
d6:fb:b2:5e:83:c5,2,-85
d6:fb:b2:5e:83:c5,2,-88
d6:fb:b2:5e:83:c5,2,-77
d6:fb:b2:5e:83:c5,2,-89
d6:fb:b2:5e:83:c5,2,-88
d6:fb:b2:5e:83:c5,2,-92
d6:fb:b2:5e:83:c5,2,-74
d6:fb:b2:5e:83:c5,2,-74
d6:fb:b2:5e:83:c5,2,-88
d6:fb:b2:5e:83:c5,2,-87
d6:fb:b2:5e:83:c5,2,-88
d6:fb:b2:5e:83:c5,2,-84
d6:fb:b2:5e:83:c5,2,-87
d6:fb:b2:5e:83:c5,2,-85
d6:fb:b2:5e:83:c5,2,-87
d6:fb:b2:5e:83:c5,2,-88
d6:fb:b2:5e:83:c5,2,-85
d6:fb:b2:5e:83:c5,2,-92
d6:fb:b2:5e:83:c5,2,-87
d6:fb:b2:5e:83:c5,2,-87
d6:fb:b2:5e:83:c5,2,-84
d6:fb:b2:5e:83:c5,2,-71
d6:fb:b2:5e:83:c5,2,-67
d6:fb:b2:5e:83:c5,2,-78
d6:fb:b2:5e:83:c5,2,-52
d6:fb:b2:5e:83:c5,2,-72
d6:fb:b2:5e:83:c5,2,-77
d6:fb:b2:5e:83:c5,2,-93
d6:fb:b2:5e:83:c5,2,-80
d6:fb:b2:5e:83:c5,2,-89
d6:fb:b2:5e:83:c5,2,-94
d6:fb:b2:5e:83:c5,2,-92
d6:fb:b2:5e:83:c5,2,-78
d6:fb:b2:5e:83:c5,2,-98
d6:fb:b2:5e:83:c5,2,-95
d6:fb:b2:5e:83:c5,2,-90
d6:fb:b2:5e:83:c5,2,-97
d6:fb:b2:5e:83:c5,2,-81
d6:fb:b2:5e:83:c5,2,-82
d6:fb:b2:5e:83:c5,2,-95
d6:fb:b2:5e:83:c5,2,-94
d6:fb:b2:5e:83:c5,2,-85
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-85
d6:fb:b2:5e:83:c5,2,-75
d6:fb:b2:5e:83:c5,2,-102
d6:fb:b2:5e:83:c5,2,-96
d6:fb:b2:5e:83:c5,2,-76
d6:fb:b2:5e:83:c5,2,-98
d6:fb:b2:5e:83:c5,2,-92
d6:fb:b2:5e:83:c5,2,-96
d6:fb:b2:5e:83:c5,2,-82
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-99
d6:fb:b2:5e:83:c5,2,-97
d6:fb:b2:5e:83:c5,2,-93
d6:fb:b2:5e:83:c5,2,-99
d6:fb:b2:5e:83:c5,2,-79
d6:fb:b2:5e:83:c5,2,-90
d6:fb:b2:5e:83:c5,2,-80
d6:fb:b2:5e:83:c5,2,-77
d6:fb:b2:5e:83:c5,2,-80
d6:fb:b2:5e:83:c5,2,-80
d6:fb:b2:5e:83:c5,2,-82
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-94
d6:fb:b2:5e:83:c5,2,-92
d6:fb:b2:5e:83:c5,2,-78
d6:fb:b2:5e:83:c5,2,-81
d6:fb:b2:5e:83:c5,2,-83
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-95
d6:fb:b2:5e:83:c5,2,-78
d6:fb:b2:5e:83:c5,2,-95
d6:fb:b2:5e:83:c5,2,-88
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-97
d6:fb:b2:5e:83:c5,2,-98
d6:fb:b2:5e:83:c5,2,-86
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-92
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-81
d6:fb:b2:5e:83:c5,2,-84
d6:fb:b2:5e:83:c5,2,-84
d6:fb:b2:5e:83:c5,2,-94
d6:fb:b2:5e:83:c5,2,-83
d6:fb:b2:5e:83:c5,2,-97
d6:fb:b2:5e:83:c5,2,-97
d6:fb:b2:5e:83:c5,2,-83
d6:fb:b2:5e:83:c5,2,-83
d6:fb:b2:5e:83:c5,2,-98
d6:fb:b2:5e:83:c5,2,-95
d6:fb:b2:5e:83:c5,2,-84
d6:fb:b2:5e:83:c5,2,-99
d6:fb:b2:5e:83:c5,2,-96
d6:fb:b2:5e:83:c5,2,-83
d6:fb:b2:5e:83:c5,2,-93
d6:fb:b2:5e:83:c5,2,-93
d6:fb:b2:5e:83:c5,2,-93
d6:fb:b2:5e:83:c5,2,-93
d6:fb:b2:5e:83:c5,2,-101
d6:fb:b2:5e:83:c5,2,-98
d6:fb:b2:5e:83:c5,2,-101
d6:fb:b2:5e:83:c5,2,-94
d6:fb:b2:5e:83:c5,2,-77
d6:fb:b2:5e:83:c5,2,-93
d6:fb:b2:5e:83:c5,2,-93
d6:fb:b2:5e:83:c5,2,-82
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-93
d6:fb:b2:5e:83:c5,2,-92
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-89
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-101
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-98
d6:fb:b2:5e:83:c5,2,-76
d6:fb:b2:5e:83:c5,2,-94
d6:fb:b2:5e:83:c5,2,-82
d6:fb:b2:5e:83:c5,2,-99
d6:fb:b2:5e:83:c5,2,-80
d6:fb:b2:5e:83:c5,2,-93
d6:fb:b2:5e:83:c5,2,-100
d6:fb:b2:5e:83:c5,2,-86
d6:fb:b2:5e:83:c5,2,-90
d6:fb:b2:5e:83:c5,2,-92
d6:fb:b2:5e:83:c5,2,-93
d6:fb:b2:5e:83:c5,2,-89
d6:fb:b2:5e:83:c5,2,-83
d6:fb:b2:5e:83:c5,2,-85
d6:fb:b2:5e:83:c5,2,-87
d6:fb:b2:5e:83:c5,2,-88
d6:fb:b2:5e:83:c5,2,-88
d6:fb:b2:5e:83:c5,2,-86
d6:fb:b2:5e:83:c5,2,-94
d6:fb:b2:5e:83:c5,2,-72
d6:fb:b2:5e:83:c5,2,-90
d6:fb:b2:5e:83:c5,2,-72
d6:fb:b2:5e:83:c5,2,-50
d6:fb:b2:5e:83:c5,2,-69
d6:fb:b2:5e:83:c5,2,-74
d6:fb:b2:5e:83:c5,2,-93
d6:fb:b2:5e:83:c5,2,-80
d6:fb:b2:5e:83:c5,2,-94
d6:fb:b2:5e:83:c5,2,-94
d6:fb:b2:5e:83:c5,2,-96
d6:fb:b2:5e:83:c5,2,-80
d6:fb:b2:5e:83:c5,2,-81
d6:fb:b2:5e:83:c5,2,-101
d6:fb:b2:5e:83:c5,2,-81
d6:fb:b2:5e:83:c5,2,-84
d6:fb:b2:5e:83:c5,2,-97
d6:fb:b2:5e:83:c5,2,-97
d6:fb:b2:5e:83:c5,2,-82
d6:fb:b2:5e:83:c5,2,-96
d6:fb:b2:5e:83:c5,2,-93
d6:fb:b2:5e:83:c5,2,-99
d6:fb:b2:5e:83:c5,2,-100
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-97
d6:fb:b2:5e:83:c5,2,-101
d6:fb:b2:5e:83:c5,2,-94
d6:fb:b2:5e:83:c5,2,-94
d6:fb:b2:5e:83:c5,2,-92
d6:fb:b2:5e:83:c5,2,-95
d6:fb:b2:5e:83:c5,2,-94
d6:fb:b2:5e:83:c5,2,-88
d6:fb:b2:5e:83:c5,2,-96
d6:fb:b2:5e:83:c5,2,-96
d6:fb:b2:5e:83:c5,2,-101
d6:fb:b2:5e:83:c5,2,-96
d6:fb:b2:5e:83:c5,2,-99
d6:fb:b2:5e:83:c5,2,-87
d6:fb:b2:5e:83:c5,2,-79
d6:fb:b2:5e:83:c5,2,-67
d6:fb:b2:5e:83:c5,2,-92
d6:fb:b2:5e:83:c5,2,-86
d6:fb:b2:5e:83:c5,2,-94
d6:fb:b2:5e:83:c5,2,-94
d6:fb:b2:5e:83:c5,2,-101
d6:fb:b2:5e:83:c5,2,-97
d6:fb:b2:5e:83:c5,2,-83
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-83
d6:fb:b2:5e:83:c5,2,-84
d6:fb:b2:5e:83:c5,2,-97
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-82
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-95
d6:fb:b2:5e:83:c5,2,-92
d6:fb:b2:5e:83:c5,2,-95
d6:fb:b2:5e:83:c5,2,-94
d6:fb:b2:5e:83:c5,2,-95
d6:fb:b2:5e:83:c5,2,-94
d6:fb:b2:5e:83:c5,2,-78
d6:fb:b2:5e:83:c5,2,-78
d6:fb:b2:5e:83:c5,2,-97
d6:fb:b2:5e:83:c5,2,-95
d6:fb:b2:5e:83:c5,2,-100
d6:fb:b2:5e:83:c5,2,-79
d6:fb:b2:5e:83:c5,2,-99
d6:fb:b2:5e:83:c5,2,-95
d6:fb:b2:5e:83:c5,2,-85
d6:fb:b2:5e:83:c5,2,-94
d6:fb:b2:5e:83:c5,2,-79
d6:fb:b2:5e:83:c5,2,-90
d6:fb:b2:5e:83:c5,2,-78
d6:fb:b2:5e:83:c5,2,-77
d6:fb:b2:5e:83:c5,2,-95
d6:fb:b2:5e:83:c5,2,-93
d6:fb:b2:5e:83:c5,2,-92
d6:fb:b2:5e:83:c5,2,-98
d6:fb:b2:5e:83:c5,2,-94
d6:fb:b2:5e:83:c5,2,-85
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-95
d6:fb:b2:5e:83:c5,2,-95
d6:fb:b2:5e:83:c5,2,-89
d6:fb:b2:5e:83:c5,2,-97
d6:fb:b2:5e:83:c5,2,-83
d6:fb:b2:5e:83:c5,2,-82
d6:fb:b2:5e:83:c5,2,-96
d6:fb:b2:5e:83:c5,2,-96
d6:fb:b2:5e:83:c5,2,-93
d6:fb:b2:5e:83:c5,2,-80
d6:fb:b2:5e:83:c5,2,-95
d6:fb:b2:5e:83:c5,2,-95
d6:fb:b2:5e:83:c5,2,-92
d6:fb:b2:5e:83:c5,2,-95
d6:fb:b2:5e:83:c5,2,-83
d6:fb:b2:5e:83:c5,2,-80
d6:fb:b2:5e:83:c5,2,-83
d6:fb:b2:5e:83:c5,2,-102
d6:fb:b2:5e:83:c5,2,-95
d6:fb:b2:5e:83:c5,2,-97
d6:fb:b2:5e:83:c5,2,-95
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-93
d6:fb:b2:5e:83:c5,2,-96
d6:fb:b2:5e:83:c5,2,-92
d6:fb:b2:5e:83:c5,2,-95
d6:fb:b2:5e:83:c5,2,-94
d6:fb:b2:5e:83:c5,2,-82
d6:fb:b2:5e:83:c5,2,-97
d6:fb:b2:5e:83:c5,2,-98
d6:fb:b2:5e:83:c5,2,-96
d6:fb:b2:5e:83:c5,2,-87
d6:fb:b2:5e:83:c5,2,-82
d6:fb:b2:5e:83:c5,2,-93
d6:fb:b2:5e:83:c5,2,-93
d6:fb:b2:5e:83:c5,2,-92
d6:fb:b2:5e:83:c5,2,-94
d6:fb:b2:5e:83:c5,2,-80
d6:fb:b2:5e:83:c5,2,-89
d6:fb:b2:5e:83:c5,2,-92
d6:fb:b2:5e:83:c5,2,-98
d6:fb:b2:5e:83:c5,2,-93
d6:fb:b2:5e:83:c5,2,-99
d6:fb:b2:5e:83:c5,2,-84
d6:fb:b2:5e:83:c5,2,-95
d6:fb:b2:5e:83:c5,2,-79
d6:fb:b2:5e:83:c5,2,-94
d6:fb:b2:5e:83:c5,2,-86
d6:fb:b2:5e:83:c5,2,-76
d6:fb:b2:5e:83:c5,2,-97
d6:fb:b2:5e:83:c5,2,-71
d6:fb:b2:5e:83:c5,2,-56
d6:fb:b2:5e:83:c5,2,-72
d6:fb:b2:5e:83:c5,2,-70
d6:fb:b2:5e:83:c5,2,-85
d6:fb:b2:5e:83:c5,2,-83
d6:fb:b2:5e:83:c5,2,-90
d6:fb:b2:5e:83:c5,2,-86
d6:fb:b2:5e:83:c5,2,-94
d6:fb:b2:5e:83:c5,2,-73
d6:fb:b2:5e:83:c5,2,-89
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-94
d6:fb:b2:5e:83:c5,2,-92
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-97
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-94
d6:fb:b2:5e:83:c5,2,-92
d6:fb:b2:5e:83:c5,2,-88
d6:fb:b2:5e:83:c5,2,-76
d6:fb:b2:5e:83:c5,2,-88
d6:fb:b2:5e:83:c5,2,-78
d6:fb:b2:5e:83:c5,2,-88
d6:fb:b2:5e:83:c5,2,-88
d6:fb:b2:5e:83:c5,2,-77
d6:fb:b2:5e:83:c5,2,-87
d6:fb:b2:5e:83:c5,2,-92
d6:fb:b2:5e:83:c5,2,-88
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-88
d6:fb:b2:5e:83:c5,2,-90
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-90
d6:fb:b2:5e:83:c5,2,-98
d6:fb:b2:5e:83:c5,2,-95
d6:fb:b2:5e:83:c5,2,-89
d6:fb:b2:5e:83:c5,2,-92
d6:fb:b2:5e:83:c5,2,-89
d6:fb:b2:5e:83:c5,2,-93
d6:fb:b2:5e:83:c5,2,-95
d6:fb:b2:5e:83:c5,2,-93
d6:fb:b2:5e:83:c5,2,-93
d6:fb:b2:5e:83:c5,2,-88
d6:fb:b2:5e:83:c5,2,-77
d6:fb:b2:5e:83:c5,2,-76
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-95
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-99
d6:fb:b2:5e:83:c5,2,-77
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-89
d6:fb:b2:5e:83:c5,2,-90
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-94
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-89
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-73
d6:fb:b2:5e:83:c5,2,-93
d6:fb:b2:5e:83:c5,2,-88
d6:fb:b2:5e:83:c5,2,-90
d6:fb:b2:5e:83:c5,2,-87
d6:fb:b2:5e:83:c5,2,-92
d6:fb:b2:5e:83:c5,2,-74
d6:fb:b2:5e:83:c5,2,-83
d6:fb:b2:5e:83:c5,2,-94
d6:fb:b2:5e:83:c5,2,-90
d6:fb:b2:5e:83:c5,2,-78
d6:fb:b2:5e:83:c5,2,-92
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-93
d6:fb:b2:5e:83:c5,2,-76
d6:fb:b2:5e:83:c5,2,-93
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-89
d6:fb:b2:5e:83:c5,2,-93
d6:fb:b2:5e:83:c5,2,-88
d6:fb:b2:5e:83:c5,2,-94
d6:fb:b2:5e:83:c5,2,-73
d6:fb:b2:5e:83:c5,2,-93
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-95
d6:fb:b2:5e:83:c5,2,-80
d6:fb:b2:5e:83:c5,2,-94
d6:fb:b2:5e:83:c5,2,-89
d6:fb:b2:5e:83:c5,2,-92
d6:fb:b2:5e:83:c5,2,-77
d6:fb:b2:5e:83:c5,2,-93
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-88
d6:fb:b2:5e:83:c5,2,-93
d6:fb:b2:5e:83:c5,2,-99
d6:fb:b2:5e:83:c5,2,-91
d6:fb:b2:5e:83:c5,2,-77
d6:fb:b2:5e:83:c5,2,-88
d6:fb:b2:5e:83:c5,2,-90
d6:fb:b2:5e:83:c5,2,-78
d6:fb:b2:5e:83:c5,2,-93
d6:fb:b2:5e:83:c5,2,-89
d6:fb:b2:5e:83:c5,2,-79
