uuid,distance,rssi
d6:fb:b2:5e:83:c5,3,-86
d6:fb:b2:5e:83:c5,3,-97
d6:fb:b2:5e:83:c5,3,-79
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-90
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-98
d6:fb:b2:5e:83:c5,3,-86
d6:fb:b2:5e:83:c5,3,-84
d6:fb:b2:5e:83:c5,3,-89
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-95
d6:fb:b2:5e:83:c5,3,-85
d6:fb:b2:5e:83:c5,3,-95
d6:fb:b2:5e:83:c5,3,-95
d6:fb:b2:5e:83:c5,3,-98
d6:fb:b2:5e:83:c5,3,-84
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-93
d6:fb:b2:5e:83:c5,3,-90
d6:fb:b2:5e:83:c5,3,-85
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-72
d6:fb:b2:5e:83:c5,3,-79
d6:fb:b2:5e:83:c5,3,-82
d6:fb:b2:5e:83:c5,3,-98
d6:fb:b2:5e:83:c5,3,-95
d6:fb:b2:5e:83:c5,3,-90
d6:fb:b2:5e:83:c5,3,-83
d6:fb:b2:5e:83:c5,3,-98
d6:fb:b2:5e:83:c5,3,-82
d6:fb:b2:5e:83:c5,3,-83
d6:fb:b2:5e:83:c5,3,-98
d6:fb:b2:5e:83:c5,3,-79
d6:fb:b2:5e:83:c5,3,-99
d6:fb:b2:5e:83:c5,3,-96
d6:fb:b2:5e:83:c5,3,-85
d6:fb:b2:5e:83:c5,3,-95
d6:fb:b2:5e:83:c5,3,-87
d6:fb:b2:5e:83:c5,3,-98
d6:fb:b2:5e:83:c5,3,-85
d6:fb:b2:5e:83:c5,3,-98
d6:fb:b2:5e:83:c5,3,-97
d6:fb:b2:5e:83:c5,3,-100
d6:fb:b2:5e:83:c5,3,-94
d6:fb:b2:5e:83:c5,3,-83
d6:fb:b2:5e:83:c5,3,-71
d6:fb:b2:5e:83:c5,3,-69
d6:fb:b2:5e:83:c5,3,-73
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-88
d6:fb:b2:5e:83:c5,3,-87
d6:fb:b2:5e:83:c5,3,-76
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-93
d6:fb:b2:5e:83:c5,3,-90
d6:fb:b2:5e:83:c5,3,-77
d6:fb:b2:5e:83:c5,3,-77
d6:fb:b2:5e:83:c5,3,-75
d6:fb:b2:5e:83:c5,3,-88
d6:fb:b2:5e:83:c5,3,-85
d6:fb:b2:5e:83:c5,3,-99
d6:fb:b2:5e:83:c5,3,-97
d6:fb:b2:5e:83:c5,3,-95
d6:fb:b2:5e:83:c5,3,-73
d6:fb:b2:5e:83:c5,3,-78
d6:fb:b2:5e:83:c5,3,-78
d6:fb:b2:5e:83:c5,3,-90
d6:fb:b2:5e:83:c5,3,-77
d6:fb:b2:5e:83:c5,3,-93
d6:fb:b2:5e:83:c5,3,-82
d6:fb:b2:5e:83:c5,3,-88
d6:fb:b2:5e:83:c5,3,-87
d6:fb:b2:5e:83:c5,3,-93
d6:fb:b2:5e:83:c5,3,-87
d6:fb:b2:5e:83:c5,3,-86
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-77
d6:fb:b2:5e:83:c5,3,-89
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-89
d6:fb:b2:5e:83:c5,3,-93
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-76
d6:fb:b2:5e:83:c5,3,-80
d6:fb:b2:5e:83:c5,3,-88
d6:fb:b2:5e:83:c5,3,-78
d6:fb:b2:5e:83:c5,3,-90
d6:fb:b2:5e:83:c5,3,-90
d6:fb:b2:5e:83:c5,3,-89
d6:fb:b2:5e:83:c5,3,-89
d6:fb:b2:5e:83:c5,3,-76
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-82
d6:fb:b2:5e:83:c5,3,-73
d6:fb:b2:5e:83:c5,3,-74
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-76
d6:fb:b2:5e:83:c5,3,-86
d6:fb:b2:5e:83:c5,3,-93
d6:fb:b2:5e:83:c5,3,-82
d6:fb:b2:5e:83:c5,3,-95
d6:fb:b2:5e:83:c5,3,-88
d6:fb:b2:5e:83:c5,3,-87
d6:fb:b2:5e:83:c5,3,-86
d6:fb:b2:5e:83:c5,3,-86
d6:fb:b2:5e:83:c5,3,-87
d6:fb:b2:5e:83:c5,3,-73
d6:fb:b2:5e:83:c5,3,-83
d6:fb:b2:5e:83:c5,3,-80
d6:fb:b2:5e:83:c5,3,-79
d6:fb:b2:5e:83:c5,3,-75
d6:fb:b2:5e:83:c5,3,-72
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-96
d6:fb:b2:5e:83:c5,3,-82
d6:fb:b2:5e:83:c5,3,-84
d6:fb:b2:5e:83:c5,3,-88
d6:fb:b2:5e:83:c5,3,-89
d6:fb:b2:5e:83:c5,3,-77
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-79
d6:fb:b2:5e:83:c5,3,-93
d6:fb:b2:5e:83:c5,3,-89
d6:fb:b2:5e:83:c5,3,-90
d6:fb:b2:5e:83:c5,3,-72
d6:fb:b2:5e:83:c5,3,-96
d6:fb:b2:5e:83:c5,3,-96
d6:fb:b2:5e:83:c5,3,-95
d6:fb:b2:5e:83:c5,3,-90
d6:fb:b2:5e:83:c5,3,-81
d6:fb:b2:5e:83:c5,3,-93
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-94
d6:fb:b2:5e:83:c5,3,-74
d6:fb:b2:5e:83:c5,3,-89
d6:fb:b2:5e:83:c5,3,-81
d6:fb:b2:5e:83:c5,3,-90
d6:fb:b2:5e:83:c5,3,-90
d6:fb:b2:5e:83:c5,3,-93
d6:fb:b2:5e:83:c5,3,-79
d6:fb:b2:5e:83:c5,3,-90
d6:fb:b2:5e:83:c5,3,-81
d6:fb:b2:5e:83:c5,3,-89
d6:fb:b2:5e:83:c5,3,-89
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-94
d6:fb:b2:5e:83:c5,3,-93
d6:fb:b2:5e:83:c5,3,-94
d6:fb:b2:5e:83:c5,3,-93
d6:fb:b2:5e:83:c5,3,-82
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-90
d6:fb:b2:5e:83:c5,3,-89
d6:fb:b2:5e:83:c5,3,-95
d6:fb:b2:5e:83:c5,3,-96
d6:fb:b2:5e:83:c5,3,-82
d6:fb:b2:5e:83:c5,3,-78
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-93
d6:fb:b2:5e:83:c5,3,-96
d6:fb:b2:5e:83:c5,3,-75
d6:fb:b2:5e:83:c5,3,-94
d6:fb:b2:5e:83:c5,3,-99
d6:fb:b2:5e:83:c5,3,-87
d6:fb:b2:5e:83:c5,3,-95
d6:fb:b2:5e:83:c5,3,-102
d6:fb:b2:5e:83:c5,3,-96
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-81
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-95
d6:fb:b2:5e:83:c5,3,-90
d6:fb:b2:5e:83:c5,3,-94
d6:fb:b2:5e:83:c5,3,-77
d6:fb:b2:5e:83:c5,3,-90
d6:fb:b2:5e:83:c5,3,-78
d6:fb:b2:5e:83:c5,3,-90
d6:fb:b2:5e:83:c5,3,-89
d6:fb:b2:5e:83:c5,3,-89
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-87
d6:fb:b2:5e:83:c5,3,-81
d6:fb:b2:5e:83:c5,3,-75
d6:fb:b2:5e:83:c5,3,-72
d6:fb:b2:5e:83:c5,3,-79
d6:fb:b2:5e:83:c5,3,-71
d6:fb:b2:5e:83:c5,3,-82
d6:fb:b2:5e:83:c5,3,-83
d6:fb:b2:5e:83:c5,3,-96
d6:fb:b2:5e:83:c5,3,-100
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-80
d6:fb:b2:5e:83:c5,3,-90
d6:fb:b2:5e:83:c5,3,-88
d6:fb:b2:5e:83:c5,3,-96
d6:fb:b2:5e:83:c5,3,-90
d6:fb:b2:5e:83:c5,3,-80
d6:fb:b2:5e:83:c5,3,-90
d6:fb:b2:5e:83:c5,3,-77
d6:fb:b2:5e:83:c5,3,-96
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-94
d6:fb:b2:5e:83:c5,3,-87
d6:fb:b2:5e:83:c5,3,-77
d6:fb:b2:5e:83:c5,3,-98
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-100
d6:fb:b2:5e:83:c5,3,-75
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-79
d6:fb:b2:5e:83:c5,3,-94
d6:fb:b2:5e:83:c5,3,-90
d6:fb:b2:5e:83:c5,3,-84
d6:fb:b2:5e:83:c5,3,-76
d6:fb:b2:5e:83:c5,3,-76
d6:fb:b2:5e:83:c5,3,-95
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-75
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-76
d6:fb:b2:5e:83:c5,3,-94
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-78
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-78
d6:fb:b2:5e:83:c5,3,-79
d6:fb:b2:5e:83:c5,3,-76
d6:fb:b2:5e:83:c5,3,-77
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-95
d6:fb:b2:5e:83:c5,3,-75
d6:fb:b2:5e:83:c5,3,-98
d6:fb:b2:5e:83:c5,3,-86
d6:fb:b2:5e:83:c5,3,-80
d6:fb:b2:5e:83:c5,3,-77
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-80
d6:fb:b2:5e:83:c5,3,-59
d6:fb:b2:5e:83:c5,3,-60
d6:fb:b2:5e:83:c5,3,-76
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-71
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-82
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-94
d6:fb:b2:5e:83:c5,3,-78
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-90
d6:fb:b2:5e:83:c5,3,-75
d6:fb:b2:5e:83:c5,3,-93
d6:fb:b2:5e:83:c5,3,-75
d6:fb:b2:5e:83:c5,3,-82
d6:fb:b2:5e:83:c5,3,-83
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-95
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-90
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-93
d6:fb:b2:5e:83:c5,3,-79
d6:fb:b2:5e:83:c5,3,-80
d6:fb:b2:5e:83:c5,3,-80
d6:fb:b2:5e:83:c5,3,-84
d6:fb:b2:5e:83:c5,3,-94
d6:fb:b2:5e:83:c5,3,-80
d6:fb:b2:5e:83:c5,3,-97
d6:fb:b2:5e:83:c5,3,-76
d6:fb:b2:5e:83:c5,3,-77
d6:fb:b2:5e:83:c5,3,-94
d6:fb:b2:5e:83:c5,3,-89
d6:fb:b2:5e:83:c5,3,-89
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-96
d6:fb:b2:5e:83:c5,3,-85
d6:fb:b2:5e:83:c5,3,-86
d6:fb:b2:5e:83:c5,3,-88
d6:fb:b2:5e:83:c5,3,-87
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-94
d6:fb:b2:5e:83:c5,3,-99
d6:fb:b2:5e:83:c5,3,-100
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-75
d6:fb:b2:5e:83:c5,3,-68
d6:fb:b2:5e:83:c5,3,-87
d6:fb:b2:5e:83:c5,3,-85
d6:fb:b2:5e:83:c5,3,-87
d6:fb:b2:5e:83:c5,3,-76
d6:fb:b2:5e:83:c5,3,-88
d6:fb:b2:5e:83:c5,3,-89
d6:fb:b2:5e:83:c5,3,-85
d6:fb:b2:5e:83:c5,3,-88
d6:fb:b2:5e:83:c5,3,-82
d6:fb:b2:5e:83:c5,3,-94
d6:fb:b2:5e:83:c5,3,-89
d6:fb:b2:5e:83:c5,3,-93
d6:fb:b2:5e:83:c5,3,-82
d6:fb:b2:5e:83:c5,3,-78
d6:fb:b2:5e:83:c5,3,-93
d6:fb:b2:5e:83:c5,3,-81
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-78
d6:fb:b2:5e:83:c5,3,-97
d6:fb:b2:5e:83:c5,3,-80
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-83
d6:fb:b2:5e:83:c5,3,-94
d6:fb:b2:5e:83:c5,3,-79
d6:fb:b2:5e:83:c5,3,-78
d6:fb:b2:5e:83:c5,3,-79
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-93
d6:fb:b2:5e:83:c5,3,-93
d6:fb:b2:5e:83:c5,3,-93
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-97
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-85
d6:fb:b2:5e:83:c5,3,-97
d6:fb:b2:5e:83:c5,3,-62
d6:fb:b2:5e:83:c5,3,-77
d6:fb:b2:5e:83:c5,3,-67
d6:fb:b2:5e:83:c5,3,-88
d6:fb:b2:5e:83:c5,3,-73
d6:fb:b2:5e:83:c5,3,-85
d6:fb:b2:5e:83:c5,3,-88
d6:fb:b2:5e:83:c5,3,-77
d6:fb:b2:5e:83:c5,3,-94
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-84
d6:fb:b2:5e:83:c5,3,-98
d6:fb:b2:5e:83:c5,3,-77
d6:fb:b2:5e:83:c5,3,-78
d6:fb:b2:5e:83:c5,3,-78
d6:fb:b2:5e:83:c5,3,-61
d6:fb:b2:5e:83:c5,3,-78
d6:fb:b2:5e:83:c5,3,-58
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-88
d6:fb:b2:5e:83:c5,3,-98
d6:fb:b2:5e:83:c5,3,-99
d6:fb:b2:5e:83:c5,3,-86
d6:fb:b2:5e:83:c5,3,-82
d6:fb:b2:5e:83:c5,3,-95
d6:fb:b2:5e:83:c5,3,-95
d6:fb:b2:5e:83:c5,3,-94
d6:fb:b2:5e:83:c5,3,-93
d6:fb:b2:5e:83:c5,3,-93
d6:fb:b2:5e:83:c5,3,-86
d6:fb:b2:5e:83:c5,3,-80
d6:fb:b2:5e:83:c5,3,-80
d6:fb:b2:5e:83:c5,3,-93
d6:fb:b2:5e:83:c5,3,-77
d6:fb:b2:5e:83:c5,3,-99
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-84
d6:fb:b2:5e:83:c5,3,-98
d6:fb:b2:5e:83:c5,3,-93
d6:fb:b2:5e:83:c5,3,-89
d6:fb:b2:5e:83:c5,3,-96
d6:fb:b2:5e:83:c5,3,-89
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-93
d6:fb:b2:5e:83:c5,3,-86
d6:fb:b2:5e:83:c5,3,-78
d6:fb:b2:5e:83:c5,3,-83
d6:fb:b2:5e:83:c5,3,-89
d6:fb:b2:5e:83:c5,3,-86
d6:fb:b2:5e:83:c5,3,-86
d6:fb:b2:5e:83:c5,3,-87
d6:fb:b2:5e:83:c5,3,-90
d6:fb:b2:5e:83:c5,3,-94
d6:fb:b2:5e:83:c5,3,-93
d6:fb:b2:5e:83:c5,3,-88
d6:fb:b2:5e:83:c5,3,-102
d6:fb:b2:5e:83:c5,3,-87
d6:fb:b2:5e:83:c5,3,-95
d6:fb:b2:5e:83:c5,3,-95
d6:fb:b2:5e:83:c5,3,-95
d6:fb:b2:5e:83:c5,3,-101
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-93
d6:fb:b2:5e:83:c5,3,-89
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-97
d6:fb:b2:5e:83:c5,3,-84
d6:fb:b2:5e:83:c5,3,-96
d6:fb:b2:5e:83:c5,3,-86
d6:fb:b2:5e:83:c5,3,-93
d6:fb:b2:5e:83:c5,3,-93
d6:fb:b2:5e:83:c5,3,-82
d6:fb:b2:5e:83:c5,3,-97
d6:fb:b2:5e:83:c5,3,-81
d6:fb:b2:5e:83:c5,3,-99
d6:fb:b2:5e:83:c5,3,-75
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-94
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-93
d6:fb:b2:5e:83:c5,3,-76
d6:fb:b2:5e:83:c5,3,-93
d6:fb:b2:5e:83:c5,3,-77
d6:fb:b2:5e:83:c5,3,-90
d6:fb:b2:5e:83:c5,3,-94
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-90
d6:fb:b2:5e:83:c5,3,-98
d6:fb:b2:5e:83:c5,3,-95
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-79
d6:fb:b2:5e:83:c5,3,-80
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-97
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-79
d6:fb:b2:5e:83:c5,3,-99
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-99
d6:fb:b2:5e:83:c5,3,-97
d6:fb:b2:5e:83:c5,3,-80
d6:fb:b2:5e:83:c5,3,-88
d6:fb:b2:5e:83:c5,3,-90
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-95
d6:fb:b2:5e:83:c5,3,-89
d6:fb:b2:5e:83:c5,3,-95
d6:fb:b2:5e:83:c5,3,-89
d6:fb:b2:5e:83:c5,3,-97
d6:fb:b2:5e:83:c5,3,-81
d6:fb:b2:5e:83:c5,3,-82
d6:fb:b2:5e:83:c5,3,-88
d6:fb:b2:5e:83:c5,3,-97
d6:fb:b2:5e:83:c5,3,-80
d6:fb:b2:5e:83:c5,3,-93
d6:fb:b2:5e:83:c5,3,-85
d6:fb:b2:5e:83:c5,3,-77
d6:fb:b2:5e:83:c5,3,-77
d6:fb:b2:5e:83:c5,3,-85
d6:fb:b2:5e:83:c5,3,-90
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-82
d6:fb:b2:5e:83:c5,3,-83
d6:fb:b2:5e:83:c5,3,-58
d6:fb:b2:5e:83:c5,3,-78
d6:fb:b2:5e:83:c5,3,-86
d6:fb:b2:5e:83:c5,3,-86
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-87
d6:fb:b2:5e:83:c5,3,-101
d6:fb:b2:5e:83:c5,3,-94
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-80
d6:fb:b2:5e:83:c5,3,-88
d6:fb:b2:5e:83:c5,3,-89
d6:fb:b2:5e:83:c5,3,-98
d6:fb:b2:5e:83:c5,3,-75
d6:fb:b2:5e:83:c5,3,-90
d6:fb:b2:5e:83:c5,3,-98
d6:fb:b2:5e:83:c5,3,-88
d6:fb:b2:5e:83:c5,3,-93
d6:fb:b2:5e:83:c5,3,-90
d6:fb:b2:5e:83:c5,3,-95
d6:fb:b2:5e:83:c5,3,-93
d6:fb:b2:5e:83:c5,3,-98
d6:fb:b2:5e:83:c5,3,-93
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-95
d6:fb:b2:5e:83:c5,3,-97
d6:fb:b2:5e:83:c5,3,-95
d6:fb:b2:5e:83:c5,3,-99
d6:fb:b2:5e:83:c5,3,-75
d6:fb:b2:5e:83:c5,3,-85
d6:fb:b2:5e:83:c5,3,-95
d6:fb:b2:5e:83:c5,3,-89
d6:fb:b2:5e:83:c5,3,-87
d6:fb:b2:5e:83:c5,3,-89
d6:fb:b2:5e:83:c5,3,-74
d6:fb:b2:5e:83:c5,3,-89
d6:fb:b2:5e:83:c5,3,-87
d6:fb:b2:5e:83:c5,3,-92
d6:fb:b2:5e:83:c5,3,-100
d6:fb:b2:5e:83:c5,3,-93
d6:fb:b2:5e:83:c5,3,-99
d6:fb:b2:5e:83:c5,3,-89
d6:fb:b2:5e:83:c5,3,-89
d6:fb:b2:5e:83:c5,3,-91
d6:fb:b2:5e:83:c5,3,-99
d6:fb:b2:5e:83:c5,3,-80
d6:fb:b2:5e:83:c5,3,-93
d6:fb:b2:5e:83:c5,3,-102
d6:fb:b2:5e:83:c5,3,-81
d6:fb:b2:5e:83:c5,3,-100
d6:fb:b2:5e:83:c5,3,-94
d6:fb:b2:5e:83:c5,3,-88
d6:fb:b2:5e:83:c5,3,-94
d6:fb:b2:5e:83:c5,3,-96
d6:fb:b2:5e:83:c5,3,-94
d6:fb:b2:5e:83:c5,3,-89
